fiscal_year,available_from,code,net_income,equity,shares,EPS,BPS,ROE
2024,2025-03-31,017800,193928194856.0,1342280676829.0,60000000.0,3232.1365809333333,22371.344613816666,0.14447663458445623
2025,2026-03-31,017800,269282572016.0,1444314941553.0,60000000.0,4488.042866933333,24071.91569255,0.18644311172634817
2021,2022-03-31,259960,519877622732.0,4608244308771.0,300000000.0,1732.9254091066666,15360.81436257,0.11281468340176809
2022,2023-03-31,259960,500154032217.0,5112850137557.0,300000000.0,1667.18010739,17042.833791856665,0.09782293999643445
2023,2024-03-30,259960,594060314352.0,5558820261031.0,300000000.0,1980.20104784,18529.400870103334,0.10686805589246
2024,2025-03-31,259960,1302592653712.0,6829131602227.0,300000000.0,4341.975512373333,22763.772007423333,0.1907405991835361
2025,2026-03-31,259960,733703643561.0,7184144206229.0,300000000.0,2445.67881187,23947.147354096665,0.1021281898719187
2019,2020-03-30,010950,65429000000.0,6496626000000.0,180000000.0,363.49444444444447,36092.36666666667,0.010071227741907876
2020,2021-03-31,010950,-796108000000.0,5682477000000.0,180000000.0,-4422.822222222222,31569.316666666666,-0.14009876326820153
2021,2022-03-31,010950,1378541000000.0,6988042000000.0,180000000.0,7658.561111111111,38822.455555555556,0.19727142452778618
2022,2023-03-31,010950,2104387000000.0,8483469000000.0,180000000.0,11691.038888888888,47130.38333333333,0.24805736898431527
2023,2024-03-30,010950,948848000000.0,9037565000000.0,180000000.0,5271.377777777778,50208.694444444445,0.10498934170874566
2024,2025-03-31,010950,-193042000000.0,8695647000000.0,180000000.0,-1072.4555555555555,48309.15,-0.022199843208906708
2025,2026-03-31,010950,176952000000.0,8887401000000.0,180000000.0,983.0666666666667,49374.45,0.019910432757563205
2019,2020-03-30,007340,68290129655.0,626101164680.0,48000000.0,1422.7110344791668,13043.774264166666,0.10907203740772956
2020,2021-03-31,007340,48427397900.0,654677184021.0,48000000.0,1008.9041229166667,13639.1080004375,0.07397141535093821
2021,2022-03-31,007340,69638800174.0,713972880627.0,48000000.0,1450.8083369583333,14874.4350130625,0.09753703825955445
2022,2023-03-31,007340,184899013321.0,1131508559775.0,48000000.0,3852.062777520833,23573.0949953125,0.16340929259763362
2023,2024-03-30,007340,283445370500.0,1394417748532.0,48000000.0,5905.111885416667,29050.369761083333,0.20327148790124233
2024,2025-03-31,007340,318229010000.0,2170771614000.0,240000000.0,1325.9542083333333,9044.881725,0.14659718597186336
2025,2026-03-31,007340,324985358000.0,2449662359000.0,240000000.0,1354.1056583333334,10206.926495833333,0.1326653678642739
2019,2020-03-30,023590,395865387334.0,2664225769177.0,75000000.0,5278.205164453333,35523.010255693334,0.1485855260142934
2020,2021-03-31,023590,679446474293.0,3245177239848.0,75000000.0,9059.286323906666,43269.02986464,0.20937114495626882
2021,2022-03-31,023590,914188890009.0,4616469257342.0,75000000.0,12189.18520012,61552.92343122666,0.1980277218471845
2022,2023-03-31,023590,680524455388.0,5188413232629.0,75000000.0,9073.659405173334,69178.84310172,0.13116234672834148
2023,2024-03-30,023590,490015745774.0,5550533034939.0,75000000.0,6533.543276986667,74007.10713252,0.08828264649349758
2024,2025-03-31,023590,852762689452.0,6292556736075.0,75000000.0,11370.169192693333,83900.756481,0.13551926906962036
2025,2026-03-31,023590,1156018987903.0,7494224568073.0,75000000.0,15413.586505373334,99922.99424097333,0.15425465001781347
2023,2024-03-30,006800,337857808122.0,11238866114389.0,1000000000.0,337.857808122,11238.866114389,0.030061556449137182
2024,2025-03-31,006800,925470295452.0,12263708551768.0,1000000000.0,925.470295452,12263.708551768,0.07546414622831031
2025,2026-03-31,006800,1582916000000.0,13478203000000.0,1000000000.0,1582.916,13478.203,0.11744265908444916
2019,2020-03-30,090430,223761027766.0,4498840803125.0,235000000.0,952.1745862382978,19144.00341755319,0.04973748517853096
2020,2021-03-31,090430,21869011689.0,4464397744195.0,235000000.0,93.05962420851064,18997.437209340427,0.004898535691053961
2021,2022-03-31,090430,180857693977.0,4744299877622.0,235000000.0,769.607208412766,20188.510117540427,0.03812105023758571
2022,2023-03-31,090430,129264244958.0,4779275104059.0,235000000.0,550.0606168425531,20337.34086833617,0.027046830773189205
2023,2024-03-30,090430,173878928996.0,4872705211057.0,235000000.0,739.9103361531915,20734.915791731913,0.03568427012605627
2024,2025-03-31,090430,601641373835.0,5326007889106.0,235000000.0,2560.1760588723405,22663.863357897873,0.11296291450593192
2025,2026-03-31,090430,247316269750.0,5503457775495.0,235000000.0,1052.4096585106383,23418.96925742553,0.044938342372901285
2019,2020-03-30,020150,44340000000.0,815451000000.0,200000000.0,221.7,4077.255,0.05437481835205304
2020,2021-03-31,020150,42734000000.0,853626000000.0,200000000.0,213.67,4268.13,0.05006173663876218
2021,2022-03-31,020150,63175873096.0,1349280166469.0,200000000.0,315.87936548,6746.400832345,0.04682190894521792
2022,2023-03-31,020150,48987139840.0,1990086440415.0,100000000.0,489.8713984,19900.86440415,0.024615583949099483
2023,2024-03-30,020150,-45120189148.0,1965832679844.0,100000000.0,-451.20189148,19658.32679844,-0.02295220219432945
2024,2025-03-31,020150,28798407933.0,1901956206905.0,200000000.0,143.992039665,9509.781034525,0.015141467415731323
2025,2026-03-31,020150,-167150052089.0,1793464927050.0,200000000.0,-835.750260445,8967.32463525,-0.0931995098247829
2023,2024-03-30,316140,2626894000000.0,33397490000000.0,4000000000.0,656.7235,8349.3725,0.07865543189024085
2024,2025-03-31,316140,3171469000000.0,35895269000000.0,4000000000.0,792.86725,8973.81725,0.08835339832667084
2025,2026-03-31,316140,3227508000000.0,37859248000000.0,4000000000.0,806.877,9464.812,0.08525018774805036
2019,2020-03-30,035420,396821062465.0,6503926068580.0,300000000.0,1322.7368748833333,21679.753561933332,0.06101254200628357
2020,2021-03-31,035420,844996977149.0,8255132035213.0,300000000.0,2816.6565904966665,27517.10678404333,0.10236020133228521
2021,2022-03-31,035420,16477625559645.0,24027376349275.0,300000000.0,54925.41853215,80091.25449758333,0.6857854690465276
2022,2023-03-31,035420,673180300087.0,23450322480451.0,300000000.0,2243.9343336233333,78167.74160150334,0.028706654275146383
2023,2024-03-30,035420,985017762493.0,24237998815553.0,300000000.0,3283.3925416433335,80793.32938517666,0.04063940137916565
2024,2025-03-31,035420,1931976372953.0,27000911848337.0,300000000.0,6439.921243176666,90003.03949445667,0.07155226400518734
2025,2026-03-31,035420,1818746310015.0,28953013365595.0,300000000.0,6062.48770005,96510.04455198333,0.06281716818382105
2023,2024-03-30,138930,678904864314.0,10673702081303.0,700000000.0,969.8640918771429,15248.145830432857,0.0636053788219581
2024,2025-03-31,138930,749976302023.0,11147574546601.0,700000000.0,1071.3947171757143,15925.106495144286,0.06727708335905902
2025,2026-03-31,138930,836157244944.0,11241835322588.0,700000000.0,1194.51034992,16059.764746554285,0.07437906898208388
2023,2024-03-30,000810,1821614343047.0,16144398281437.0,80000000.0,22770.1792880875,201804.9785179625,0.11283259439538923
2024,2025-03-31,000810,2076797712983.0,15602214746140.0,80000000.0,25959.9714122875,195027.68432675,0.13310916089632732
2025,2026-03-31,000810,2020287132255.0,21292379956314.0,80000000.0,25253.5891531875,266154.749453925,0.09488310543020852
2020,2021-03-31,326030,-247413613854.0,379066572829.0,300000000.0,-824.71204618,1263.5552427633334,-0.6526917211600461
2021,2022-03-31,326030,64845640322.0,444187446379.0,300000000.0,216.15213440666668,1480.6248212633334,0.1459871071337547
2022,2023-03-31,326030,-139430877684.0,316560460441.0,300000000.0,-464.76959228,1055.2015348033333,-0.44045575840317835
2023,2024-03-30,326030,-35379488498.0,320951194568.0,300000000.0,-117.93162832666667,1069.8373152266668,-0.11023323513601735
2024,2025-03-31,326030,226973435375.0,573984249312.0,300000000.0,756.5781179166667,1913.28083104,0.3954349542640922
2025,2026-03-31,326030,253253847619.0,826269525829.0,300000000.0,844.1794920633333,2754.231752763333,0.3065027085016953
2019,2020-03-30,093370,205810062.0,242943810280.0,250000000.0,0.823240248,971.77524112,0.000847150877245227
2020,2021-03-31,093370,-1334232541.0,241184639801.0,250000000.0,-5.336930164,964.738559204,-0.005531996324893937
2021,2022-03-31,093370,31279494106.0,283458550164.0,250000000.0,125.117976424,1133.834200656,0.1103494464636988
2022,2023-03-31,093370,112437648934.0,415296152192.0,250000000.0,449.750595736,1661.184608768,0.27074088777499133
2023,2024-03-30,093370,-84392136579.0,331469581873.0,250000000.0,-337.568546316,1325.878327492,-0.25459994278248493
2024,2025-03-31,093370,-83359194090.0,332747551614.0,250000000.0,-333.43677636,1330.990206456,-0.2505178285630179
2025,2026-03-31,093370,7028192679.0,389354915544.0,250000000.0,28.112770716,1557.419662176,0.018050864130430534
2019,2020-03-30,000500,5462904198.0,256728214727.0,15600000.0,350.1861665384615,16456.93684147436,0.021278939690400414
